timestamp,open,high,low,close,volume
2024-11-04 04:00:00,411.91,411.91,410.15,411.24,11090
2024-11-04 05:00:00,411.37,411.95,411.37,411.95,1186
2024-11-04 06:00:00,411.74,411.74,411.0,411.0,4057
2024-11-04 07:00:00,411.03,411.03,409.27,410.01,20037
2024-11-04 08:00:00,410.4,412.0,409.3,410.0,51919
2024-11-04 09:00:00,409.85,410.22,405.5713,409.1,1905404
2024-11-04 10:00:00,409.075,410.415,408.55,409.67,1045714
2024-11-04 11:00:00,409.705,409.86,406.11,406.61,1125807
2024-11-04 12:00:00,406.65,407.48,405.87,407.17,780231
2024-11-04 13:00:00,407.11,408.23,406.55,407.7552,698754
2024-11-04 14:00:00,407.76,408.4,407.76,408.12,594648
2024-11-04 15:00:00,408.11,408.85,406.93,408.66,1627683
2024-11-04 16:00:00,408.46,409.3,408.4,409.25,5415785
2024-11-04 17:00:00,409.241,409.25,408.46,409.041,304473
2024-11-04 18:00:00,409.25,409.4,408.65,408.65,12404
2024-11-04 19:00:00,408.75,408.9074,408.59,408.65,4644
2024-11-05 04:00:00,409.5,410.09,409.49,409.74,1606
2024-11-05 05:00:00,409.5,409.71,409.5,409.71,256
2024-11-05 06:00:00,409.8,410.0,409.7,409.95,2454
2024-11-05 07:00:00,409.92,410.0,409.2,409.44,11056
2024-11-05 08:00:00,409.93,409.9999,408.95,409.5,27617
2024-11-05 09:00:00,409.31,412.92,408.05,412.875,1721327
2024-11-05 10:00:00,412.82,413.53,411.52,411.74,1480384
2024-11-05 11:00:00,411.74,414.55,411.3859,414.435,962419
2024-11-05 12:00:00,414.4101,414.9,413.21,413.4433,659445
2024-11-05 13:00:00,413.42,413.77,411.1,411.68,844968
2024-11-05 14:00:00,411.67,412.36,410.96,411.31,687023
2024-11-05 15:00:00,411.21,412.36,410.75,411.48,1357285
2024-11-05 16:00:00,411.46,412.5,411.01,412.25,2705518
2024-11-05 17:00:00,412.25,412.25,411.66,411.77,2977
2024-11-05 18:00:00,411.65,412.0,411.55,411.7,6409
2024-11-05 19:00:00,411.56,412.2,411.0,412.2,17065
2024-11-06 04:00:00,415.58,417.28,415.0,417.28,26252
2024-11-06 05:00:00,417.5,417.69,416.45,416.96,19153
2024-11-06 06:00:00,416.96,417.15,415.0,415.0,17368
2024-11-06 07:00:00,415.11,418.4,415.0,417.52,52743
